category,link,name
journal,https://dblp.uni-trier.de/db/journals/iet-sen/index.html,IETS
journal,https://dblp.uni-trier.de/db/journals/infsof/index.html,IST
journal,https://dblp.uni-trier.de/db/journals/jfp/index.html,JFP
journal,https://dblp.uni-trier.de/db/journals/smr/index.html,SMR
journal,https://dblp.uni-trier.de/db/journals/jss/index.html,JSS
journal,https://dblp.uni-trier.de/db/journals/re/index.html,RE
journal,https://dblp.uni-trier.de/db/journals/scp/index.html,SCP
journal,https://dblp.uni-trier.de/db/journals/sosym/index.html,SoSyM
journal,https://dblp.uni-trier.de/db/journals/stvr/index.html,STVR
journal,https://dblp.uni-trier.de/db/journals/spe/index.html,SPE
conference,https://dblp.uni-trier.de/db/conf/pldi/index.html,PLDI
conference,https://dblp.uni-trier.de/db/conf/popl/index.html,POPL
conference,https://dblp.uni-trier.de/db/conf/sigsoft/index.html,FSE&ESEC
conference,https://dblp.uni-trier.de/db/conf/sosp/index.html,SOSP
conference,https://dblp.uni-trier.de/db/conf/oopsla/index.html,OOPSLA
conference,https://dblp.uni-trier.de/db/conf/kbse/index.html,ASE
conference,https://dblp.uni-trier.de/db/conf/icse/index.html,ICSE
conference,https://dblp.uni-trier.de/db/conf/issta/index.html,ISSTA
conference,https://dblp.uni-trier.de/db/conf/osdi/index.html,OSDI
conference,https://dblp.uni-trier.de/db/conf/fm/index.html,FM
conference,https://dblp.uni-trier.de/db/conf/ecoop/index.html,ECOOP
conference,https://dblp.uni-trier.de/db/conf/etaps/index.html,ETAPS
conference,https://dblp.uni-trier.de/db/conf/iwpc/index.html,ICPC
conference,https://dblp.uni-trier.de/db/conf/re/index.html,RE
conference,https://dblp.uni-trier.de/db/conf/caise/index.html,CAiSE
conference,https://dblp.uni-trier.de/db/conf/icfp/index.html,ICFP
conference,https://dblp.uni-trier.de/db/conf/lctrts/index.html,LCTES
conference,https://dblp.uni-trier.de/db/conf/models/index.html,MoDELS
conference,https://dblp.uni-trier.de/db/conf/cp/index.html,CP
conference,https://dblp.uni-trier.de/db/conf/icsoc/index.html,ICSOC
conference,https://dblp.uni-trier.de/db/conf/wcre/index.html,SANER
conference,https://dblp.uni-trier.de/db/conf/icsm/index.html,ICSME
conference,https://dblp.uni-trier.de/db/conf/vmcai/index.html,VMCAI
conference,https://dblp.uni-trier.de/db/conf/icws/index.html,ICWS
conference,https://dblp.uni-trier.de/db/conf/middleware/index.html,Middleware
conference,https://dblp.uni-trier.de/db/conf/sas/index.html,SAS
conference,https://dblp.uni-trier.de/db/conf/esem/index.html,ESEM
conference,https://dblp.uni-trier.de/db/conf/issre/index.html,ISSRE
conference,https://dblp.uni-trier.de/db/conf/hotos/index.html,HotOS
journal,https://dblp.uni-trier.de/db/journals/tods/index.html,TODS
journal,https://dblp.uni-trier.de/db/journals/tois/index.html,TOIS
journal,https://dblp.uni-trier.de/db/journals/tkde/index.html,TKDE
journal,https://dblp.uni-trier.de/db/journals/vldb/index.html,VLDBJ
journal,https://dblp.uni-trier.de/db/journals/tkdd/index.html,TKDD
journal,https://dblp.uni-trier.de/db/journals/tweb/index.html,TWEB
journal,https://dblp.uni-trier.de/db/journals/aei/index.html,AEI
journal,https://dblp.uni-trier.de/db/journals/dke/index.html,DKE
journal,https://dblp.uni-trier.de/db/journals/datamine/index.html,DMKD
journal,https://dblp.uni-trier.de/db/journals/ejis/index.html,EJIS
journal,https://dblp.uni-trier.de/db/journals/geoinformatica/index.html,Geoinformatica
journal,https://dblp.uni-trier.de/db/journals/ipm/index.html,IPM
journal,https://dblp.uni-trier.de/db/journals/isci/index.html,ISCI
journal,https://dblp.uni-trier.de/db/journals/is/index.html,IS
journal,https://dblp.uni-trier.de/db/journals/jasis/index.html,JASIST
journal,https://dblp.uni-trier.de/db/journals/ws/index.html,JWS
journal,https://dblp.uni-trier.de/db/journals/kais/index.html,KAIS
conference,https://dblp.uni-trier.de/db/conf/sigmod/index.html,SIGMOD
