category,link,name,领域,CCF等级
journal,https://dblp.uni-trier.de/db/journals/tosem/index.html,TOSEM,4.软件工程、系统软件、程序设计语言,A刊
journal,https://dblp.uni-trier.de/db/journals/tse/index.html,TSE,4.软件工程、系统软件、程序设计语言,A刊
journal,https://dblp.uni-trier.de/db/journals/tsc/index.html,TSC,4.软件工程、系统软件、程序设计语言,A刊
conference,https://dblp.uni-trier.de/db/conf/pldi/index.html,PLDI,4.软件工程、系统软件、程序设计语言,A会
conference,https://dblp.uni-trier.de/db/conf/popl/index.html,POPL,4.软件工程、系统软件、程序设计语言,A会
conference,https://dblp.uni-trier.de/db/conf/sigsoft/index.html,FSE&ESEC,4.软件工程、系统软件、程序设计语言,A会
conference,https://dblp.uni-trier.de/db/conf/sosp/index.html,SOSP,4.软件工程、系统软件、程序设计语言,A会
conference,https://dblp.uni-trier.de/db/conf/oopsla/index.html,OOPSLA,4.软件工程、系统软件、程序设计语言,A会
conference,https://dblp.uni-trier.de/db/conf/kbse/index.html,ASE,4.软件工程、系统软件、程序设计语言,A会
conference,https://dblp.uni-trier.de/db/conf/icse/index.html,ICSE,4.软件工程、系统软件、程序设计语言,A会
conference,https://dblp.uni-trier.de/db/conf/issta/index.html,ISSTA,4.软件工程、系统软件、程序设计语言,A会
conference,https://dblp.uni-trier.de/db/conf/osdi/index.html,OSDI,4.软件工程、系统软件、程序设计语言,A会
conference,https://dblp.uni-trier.de/db/conf/fm/index.html,FM,4.软件工程、系统软件、程序设计语言,A会
journal,https://dblp.uni-trier.de/db/journals/tods/index.html,TODS,5.数据库、数据挖掘、内容检索,A刊
journal,https://dblp.uni-trier.de/db/journals/tois/index.html,TOIS,5.数据库、数据挖掘、内容检索,A刊
journal,https://dblp.uni-trier.de/db/journals/tkde/index.html,TKDE,5.数据库、数据挖掘、内容检索,A刊
journal,https://dblp.uni-trier.de/db/journals/vldb/index.html,VLDBJ,5.数据库、数据挖掘、内容检索,A刊
conference,https://dblp.uni-trier.de/db/conf/sigmod/index.html,SIGMOD,5.数据库、数据挖掘、内容检索,A会
conference,https://dblp.uni-trier.de/db/conf/kdd/index.html,SIGKDD,5.数据库、数据挖掘、内容检索,A会
conference,https://dblp.uni-trier.de/db/conf/icde/index.html,ICDE,5.数据库、数据挖掘、内容检索,A会
conference,https://dblp.uni-trier.de/db/conf/sigir/index.html,SIGIR,5.数据库、数据挖掘、内容检索,A会
conference,https://dblp.uni-trier.de/db/conf/vldb/index.html,VLDB,5.数据库、数据挖掘、内容检索,A会
journal,https://dblp.uni-trier.de/db/journals/tit/index.html,TIT,6.计算机科学理论,A刊
